series_key;time_period;time_period_start;time_period_end;obs_value;updated_at;dataset_id;title_fr;title_long_fr;MNE;FREQ;DOMAINE;ACTIVITE;VARIABLE;ZONE_GEO;CATEGORIE;POPULATION;CONTREPARTIE;CONSOLIDATION;UNIT;DECIMALS;UNIT_MULT;ADJUSTMENT;TIME_FORMAT;SOURCE_AGENCY;TIME_PER_COLLECT;OBS_CONF;OBS_STATUS
ACPR.A.BQ.RISQUES.CRED_CLIENT.34._Z.EC.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;367,39;2025-10-22T14:00:28+00:00;ACPR;Établissements de crédit (crédits nets);Établissements de crédit (crédits nets);CRED_CLIENT;A;BQ;_Z;34;_Z;RISQUES;TOP6_AUT_GROUPES;EC;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_CLIENT.34._Z.HORS_EC_BC.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;4705,52;2025-10-22T14:00:28+00:00;ACPR;Crédits nets  hors EC et banques centrales;Crédits nets  hors EC et banques centrales;CRED_CLIENT;A;BQ;_Z;34;_Z;RISQUES;TOP6_AUT_GROUPES;HORS_EC_BC;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_CLIENT.34._Z.NACE_P.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;6,77;2025-10-22T14:00:28+00:00;ACPR;Crédits au secteur de l'enseignement;Crédits au secteur de l'enseignement;CRED_CLIENT;A;BQ;_Z;34;_Z;RISQUES;TOP6_AUT_GROUPES;NACE_P;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_CLIENT.34.BE.ENF.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;62,98;2025-10-22T14:00:28+00:00;ACPR;Crédits aux entreprises non financières - Belgique;Crédits aux entreprises non financières - Belgique;CRED_CLIENT;A;BQ;_Z;34;BE;RISQUES;TOP6_AUT_GROUPES;ENF;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_CLIENT.34.ES.ENF.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;25,87;2025-10-22T14:00:28+00:00;ACPR;Crédits aux entreprises non financières - Espagne;Crédits aux entreprises non financières - Espagne;CRED_CLIENT;A;BQ;_Z;34;ES;RISQUES;TOP6_AUT_GROUPES;ENF;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_CLIENT.34.FR.MENAGES.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;1529,56;2025-10-22T14:00:28+00:00;ACPR;Crédits aux ménages - France;Crédits aux ménages - France;CRED_CLIENT;A;BQ;_Z;34;FR;RISQUES;TOP6_AUT_GROUPES;MENAGES;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_EQUIP.35._Z._Z.SOLO._Z.TOTAL_SECTEUR;2024;2024-01-01;2024-12-31;725,76;2025-10-22T14:00:28+00:00;ACPR;Crédits à l'équipement à l'ensemble de la clientèle non financière;Crédits à l'équipement à l'ensemble de la clientèle non financière;CRED_EQUIP;A;BQ;_Z;35;_Z;RISQUES;TOTAL_SECTEUR;_Z;SOLO;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_EQUIP.35._Z.SNF.SOLO._Z.TOTAL_SECTEUR;2024;2024-01-01;2024-12-31;537,82;2025-10-22T14:00:28+00:00;ACPR;Crédits à l'équipement aux sociétés non financières;Crédits à l'équipement aux sociétés non financières;CRED_EQUIP;A;BQ;_Z;35;_Z;RISQUES;TOTAL_SECTEUR;SNF;SOLO;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CREDITS_BRUTS.39._Z.NACE_J.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;68,08;2025-10-22T14:00:28+00:00;ACPR;Crédits bruts aux entreprises du secteur de l'information et communication;Crédits bruts aux entreprises du secteur de l'information et communication;CREDITS_BRUTS;A;BQ;_Z;39;_Z;RISQUES;TOP6_AUT_GROUPES;NACE_J;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CREDITS_BRUTS.39._Z.NACE_L.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;458,75;2025-10-22T14:00:28+00:00;ACPR;Crédits bruts aux entreprises du secteur des activités immobilières;Crédits bruts aux entreprises du secteur des activités immobilières;CREDITS_BRUTS;A;BQ;_Z;39;_Z;RISQUES;TOP6_AUT_GROUPES;NACE_L;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.DERIV_PASSIF_GRE_GRE.49._Z.EC.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;336,52;2025-10-22T14:00:29+00:00;ACPR;Montant au passif de dérivés de gré à gré avec établissements de crédit;Passif de dérivés de gré à gré avec établissements de crédit;DERIV_PASSIF_GRE_GRE;A;BQ;_Z;49;_Z;RISQUES;TOP6_AUT_GROUPES;EC;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.TB_FIN_NEGO_DERIVES9933.481._Z._Z.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;99,23;2025-10-22T14:00:30+00:00;ACPR;Montant au passif de dérivés sur actions;Montant au passif de dérivés sur actions;TB_FIN_NEGO_DERIVES9933;A;BQ;_Z;481;_Z;RISQUES;TOP6_AUT_GROUPES;_Z;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.TB_FIN_NEGO_PART_OPTION9966.492._Z._Z.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;182,8;2025-10-22T14:00:30+00:00;ACPR;Dérivés sur Capitaux propres (somme actif et passif);Dérivés sur Capitaux propres (somme actif et passif);TB_FIN_NEGO_PART_OPTION9966;A;BQ;_Z;492;_Z;RISQUES;TOP6_AUT_GROUPES;_Z;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.TX_NPL_APRES_PROV.570._Z.ENF.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;2,13;2025-10-22T14:00:30+00:00;ACPR;Poids des prêts non performants nets des provisions aux entreprises non financières;Poids des prêts non performants nets des provisions aux entreprises non financières;TX_NPL_APRES_PROV;A;BQ;_Z;570;_Z;RISQUES;TOP6_AUT_GROUPES;ENF;PHNC;PC;2;0;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.TX_NPL_APRES_PROV.570._Z.GE.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;1,6;2025-10-22T14:00:30+00:00;ACPR;Poids des prêts non performants nets des provisions aux grandes entreprises;Poids des prêts non performants nets des provisions aux grandes entreprises;TX_NPL_APRES_PROV;A;BQ;_Z;570;_Z;RISQUES;TOP6_AUT_GROUPES;GE;PHNC;PC;2;0;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.TX_NPL_APRES_PROV.570._Z.PME.PHNC._Z.TOP6_AUT_GROUPES;2024;2024-01-01;2024-12-31;2,73;2025-10-22T14:00:30+00:00;ACPR;Poids des prêts non performants nets des provisions aux PME;Poids des prêts non performants nets des provisions aux PME;TX_NPL_APRES_PROV;A;BQ;_Z;570;_Z;RISQUES;TOP6_AUT_GROUPES;PME;PHNC;PC;2;0;N;P1Y;ACPR;E;F;A
